id,image_url,valid,usable,assigned_user_id,image,
10908,http://www.bagshoes.co.kr/shopimages/yhseolyn/0200010000473.jpg,1,NULL,3,original-images-dev/BJL89XSJIDT_1.jpg,NULL
10909,http://www.bagshoes.co.kr/shopimages/yhseolyn/0200010001263.jpg,1,NULL,3,original-images-dev/UNEICUA02SU_1.jpg,NULL
10910,http://www.bagshoes.co.kr/shopimages/yhseolyn/0200010000873.jpg,1,NULL,3,original-images-dev/AZSFKFTG57V_1.jpg,NULL
10911,http://www.bagshoes.co.kr/shopimages/yhseolyn/0200050000743.jpg,1,NULL,3,original-images-dev/SWT5IS6CCXB_1.jpg,NULL
10912,http://www.bagshoes.co.kr/shopimages/yhseolyn/0380050001263.jpg,1,NULL,3,original-images-dev/3RV6Y9VJVHO_1.jpg,NULL
10913,http://www.bagshoes.co.kr/shopimages/yhseolyn/0200050001883.jpg,1,NULL,3,original-images-dev/L9FKP8FD6GM_1.jpg,NULL
10914,http://www.bagshoes.co.kr/shopimages/yhseolyn/0200050000793.jpg,1,NULL,3,original-images-dev/JY0SLAI66WP_1.jpg,NULL
10915,http://www.bagshoes.co.kr/shopimages/yhseolyn/0200030000993.jpg,1,NULL,3,original-images-dev/EPY4HEVJZGD_1.jpg,NULL
10916,http://www.bagshoes.co.kr/shopimages/yhseolyn/0200050001063.jpg,1,NULL,3,original-images-dev/HPL6J0FWRGY_1.jpg,NULL
10917,http://www.bagshoes.co.kr/shopimages/yhseolyn/0200050000703.jpg,1,NULL,3,original-images-dev/84UJ5NZ3RAN_1.jpg,NULL
10918,http://www.bagshoes.co.kr/shopimages/yhseolyn/0480010003453.jpg,1,NULL,3,original-images-dev/O6ONWOXIMET_1.jpg,NULL
10919,http://www.bagshoes.co.kr/shopimages/yhseolyn/0200030000893.jpg,1,NULL,3,original-images-dev/3SLDZI32DJA_1.jpg,NULL
10920,http://www.bagshoes.co.kr/shopimages/yhseolyn/0480010003813.jpg,1,NULL,3,original-images-dev/K4HSO3MZKMO_1.jpg,NULL
10921,http://www.bagshoes.co.kr/shopimages/yhseolyn/0200020001233.jpg,1,NULL,3,original-images-dev/6CP1DSA94VO_1.jpg,NULL
10922,http://www.bagshoes.co.kr/shopimages/yhseolyn/0480010003083.jpg,1,NULL,3,original-images-dev/B6RDD6ABPFG_1.jpg,NULL
10924,http://www.bagshoes.co.kr/shopimages/yhseolyn/0200050001503.jpg,1,NULL,3,original-images-dev/PW4BHHQWVYI_1.jpg,NULL
10925,http://www.bagshoes.co.kr/shopimages/yhseolyn/0200050001093.jpg,1,NULL,3,original-images-dev/V1KLKK8GFLW_1.jpg,NULL
10926,http://www.bagshoes.co.kr/shopimages/yhseolyn/0200010000903.jpg,1,NULL,3,original-images-dev/GEZYQ9OJB6C_1.jpg,NULL
10927,http://www.bagshoes.co.kr/shopimages/yhseolyn/0200050001443.jpg,1,NULL,3,original-images-dev/08FRPJJGYUA_1.jpg,NULL
10928,http://www.bagshoes.co.kr/shopimages/yhseolyn/0200020001373.jpg,1,NULL,3,original-images-dev/CCE9ZDT2WEW_1.jpg,NULL
10929,http://www.bagshoes.co.kr/shopimages/yhseolyn/0200050001693.jpg,1,NULL,3,original-images-dev/P9BP29UOJ8R_1.jpg,NULL
10930,http://www.bagshoes.co.kr/shopimages/yhseolyn/0200050001763.jpg,1,NULL,3,original-images-dev/LNVFBPHOY6O_1.jpg,NULL
10932,http://www.bagshoes.co.kr/shopimages/yhseolyn/0200030000683.jpg,1,NULL,3,original-images-dev/CRIUH9V149U_1.jpg,NULL
