id,image_url,valid,,assigend_user_id,image,
12645,https://images-na.ssl-images-amazon.com/images/I/81IzZ6Rr1cL._UY395_.jpg,1,NULL,2,original-images-dev/DVAM9XKB66E_1.jpg,NULL
12646,https://s-media-cache-ak0.pinimg.com/originals/f1/d6/f2/f1d6f2f880411bfc4d11c9060fe8de2c.jpg,1,NULL,2,original-images-dev/VWFB4IRXJ0L_1.jpg,NULL
12648,https://thumbs.dreamstime.com/z/alligator-purse-10781255.jpg,1,NULL,2,original-images-dev/P3WFA2O6F3Y_1.jpg,NULL
12649,https://ae01.alicdn.com/kf/HTB1l_NdKFXXXXa6XXXXq6xXFXXXQ/-font-b-Alligator-b-font-famous-designer-font-b-genuine-b-font-leather-men-messenger.jpg,1,NULL,2,original-images-dev/8MZYKFTAVCR_1.jpg,NULL
12650,https://cdn0.rubylane.com/shops/760156/C-765.1L.jpg,1,NULL,2,,NULL
12651,https://s-media-cache-ak0.pinimg.com/736x/53/1d/6c/531d6c2fb9084afdb4003c1b5b187ff9--victorian-door-crocodiles.jpg,1,NULL,2,original-images-dev/6BHITLJ053Y_1.jpg,NULL
12653,http://www.onlyfashionbags.com/wp-content/uploads/parser3/Alligator-handbags-1873-4.jpg,1,NULL,2,original-images-dev/XXNO8DV3F7I_1.jpg,NULL
12654,https://img0.etsystatic.com/125/0/11821198/il_340x270.955652048_dng8.jpg,1,NULL,2,original-images-dev/9OLE6CWIL7T_1.jpg,NULL
12655,https://img0.etsystatic.com/000/0/5500174/il_570xN.280209976.jpg,1,NULL,2,original-images-dev/UZERJV9ZE3J_1.jpg,NULL
12656,http://www.onlyfashionbags.com/wp-content/uploads/2016/03/Alligator-Skin-Handbag-3.jpg,1,NULL,2,original-images-dev/Y2BWUQ0XB8B_1.jpg,NULL
12657,http://www.thaiorientalleather.com/image/mypic_customize/Hornback-crocodile-skin-bag-20131120_203959.jpg,1,NULL,2,original-images-dev/13POWWE10NC_1.jpg,NULL
12658,http://www.exoticleather.biz/media/catalog/product/cache/1/small_image/220x/9df78eab33525d08d6e5fb8d27136e95/b/c/bcm415_brown_big.jpg,1,NULL,2,original-images-dev/PQ84OC9K56E_1.jpg,NULL
12661,https://a.1stdibscdn.com/archivesE/upload/1121189/v_954532/954532_z.jpg,1,NULL,2,original-images-dev/W4ZT84N0CPO_1.jpg,NULL
12663,https://img0.etsystatic.com/111/0/9490768/il_340x270.910598660_4aou.jpg,1,NULL,2,original-images-dev/R8V83KVLREH_1.jpg,NULL
12664,http://www.onlyfashionbags.com/wp-content/uploads/parser3/Vintage-Alligator-handbags-1899-6.jpg,1,NULL,2,original-images-dev/CX8GVP5SSNY_1.jpg,NULL
12665,http://www.exoticleather.biz/media/catalog/product/cache/1/small_image/220x/9df78eab33525d08d6e5fb8d27136e95/i/s/isalb444_brown_big.jpg,1,NULL,2,original-images-dev/LCDR6Q0BV5L_1.jpg,NULL
12667,https://img1.etsystatic.com/174/0/6688363/il_340x270.1181218547_nwx1.jpg,1,NULL,2,original-images-dev/ZOPO0CGN6WV_1.jpg,NULL
12668,https://img1.etsystatic.com/127/2/11299475/il_340x270.878394453_tdeq.jpg,1,NULL,2,original-images-dev/1MZ7EIY85XZ_1.jpg,NULL
12669,http://i.dailymail.co.uk/i/pix/2015/11/25/17/2ECE08CF00000578-3333852-image-m-15_1448473266401.jpg,1,NULL,2,original-images-dev/C2ZIQ471FCY_1.jpg,NULL
12670,https://s-media-cache-ak0.pinimg.com/236x/46/eb/d3/46ebd30e06573fc31fd870527f1ab521--baby-alligator-reptile.jpg,1,NULL,2,original-images-dev/JAE8FAF765W_1.jpg,NULL
12672,http://www.cubacollectibles.com/mm5/graphics/00000001/Womens-Alligator-handbag-13-f.jpg,1,NULL,2,original-images-dev/BNG2YPG6WKU_1.jpg,NULL
12673,http://www.purseblog.com/images/coach-legacy-alligator-pocket-flap.jpg,1,NULL,2,original-images-dev/TKHARQ02GOO_1.jpg,NULL
12677,https://s-media-cache-ak0.pinimg.com/236x/3a/a0/85/3aa085a48643950fc917698a3bcb4f65--old-hollywood-glamour-hollywood-style.jpg,1,NULL,2,original-images-dev/5W72CDAGFRN_1.jpg,NULL
12678,http://i.dailymail.co.uk/i/pix/2015/11/25/17/2ECE084100000578-3333852-image-m-25_1448473384569.jpg,1,NULL,2,original-images-dev/15HQM0DMCJX_1.jpg,NULL
12681,https://s-media-cache-ak0.pinimg.com/736x/80/d3/4a/80d34a4b72de008404b402ae24dbd28f--crocodiles-handbags.jpg,1,NULL,2,original-images-dev/VAUI6YH13FX_1.jpg,NULL
