id,left,top,right,bottom,image,valid,user,origin_source_id,category_id,,
73,0,0,1,1,cropped-images-dev/IOFMOQ0C6VV_1.jpg,1,1,12651,24,NULL,NULL
74,0,0,1,1,cropped-images-dev/2SATNVX91IE_1.jpg,1,1,12653,25,NULL,NULL
75,0,0,1,1,cropped-images-dev/3DXKD5RMFED_1.jpg,1,1,12654,26,NULL,NULL
76,0,0,1,1,cropped-images-dev/ZEX0S5F2CLP_1.jpg,1,1,12655,27,NULL,NULL
77,0,0,1,1,cropped-images-dev/YGKFJ68LPSA_1.jpg,1,1,12656,28,NULL,NULL
78,0,0,1,1,cropped-images-dev/IPIZEKINMBW_1.jpg,1,1,12657,29,NULL,NULL
79,0,0,1,1,cropped-images-dev/0SJBJS7GBPJ_1.jpg,1,1,12695,30,NULL,NULL
80,0,0,1,1,cropped-images-dev/4ORD93YKXAL_1.jpg,1,1,12696,31,NULL,NULL
81,0.0288,0.0225,0.9688,0.9862,cropped-images-dev/PYCTVWRW8WE_4.jpg,1,1,12697,35,NULL,NULL
82,0,0,1,1,cropped-images-dev/EUF6T2U4D5U_1.jpg,1,1,12698,32,NULL,NULL
83,0.0466,0.0559,0.9746,0.9222,cropped-images-dev/DEC59F2IHGG_1.jpg,1,1,12701,33,NULL,NULL
84,0.0175,0.217,0.9726,0.8757,cropped-images-dev/7B01Z0TIYNS_2.jpg,1,1,12702,34,NULL,NULL
85,0.0622,0.0158,0.9282,0.9581,cropped-images-dev/WTBY2ECQ7PM_1.jpg,1,1,12703,44,NULL,NULL
86,0.0188,0.0196,0.31,0.9417,cropped-images-dev/8Y9FPLQ3SBB_1.jpg,1,1,12704,45,NULL,NULL
87,0.0047,0.0449,1,1,cropped-images-dev/ZWWR0NUHY6H_2,1,1,12646,46,NULL,NULL
88,0.038,0.016,0.949,0.981,cropped-images-dev/Q91PFBYD3TP_2.jpg,1,1,12649,47,NULL,NULL
89,0,0,1,1,cropped-images-dev/JG03JGRMXDH_1.jpg,1,1,12645,48,NULL,NULL
90,0.1936,0.0308,0.8064,0.9831,cropped-images-dev/GD0WYFH5WOU_1.jpg,1,1,12705,49,NULL,NULL
91,0.1425,0.0932,0.8488,0.9244,cropped-images-dev/OUPVWU59YEV_1.jpg,1,1,12706,50,NULL,NULL
92,0.008,0.1096,0.991,0.9046,cropped-images-dev/HGICE0KRW3G_1.jpg,1,1,12707,51,NULL,NULL
93,0,0,0.9777,0.9018,cropped-images-dev/VH685F0RA6B_2.jpg,1,1,12648,52,NULL,NULL
94,0,0,1,1,cropped-images-dev/SJY1ZCFHKUE_1.jpg,1,1,12658,53,NULL,NULL
95,0.1873,0.0904,0.81,0.9064,cropped-images-dev/NLBUHNRSDCH_2.jpg,1,1,12661,54,NULL,NULL
96,0,0,1,1,cropped-images-dev/5XWU6G0I2VE_1.jpg,1,1,12665,55,NULL,NULL
97,0,0,1,1,cropped-images-dev/VD1N6IQZWDY_1.jpg,1,1,12664,56,NULL,NULL
98,0,0,1,1,cropped-images-dev/QQEV3IC65TN_1.jpg,1,1,12663,57,NULL,NULL
99,0,0,1,1,cropped-images-dev/TIHNBC08OCD_1.jpg,1,1,12667,58,NULL,NULL
100,0,0,1,1,cropped-images-dev/KYV2474FF2D_1.jpg,1,1,12668,59,NULL,NULL
101,0,0,1,1,cropped-images-dev/F2MF045AGBO_1.jpg,1,1,12669,60,NULL,NULL
102,0,0,1,1,cropped-images-dev/Q4QJNZTC42S_1.jpg,1,1,12670,61,NULL,NULL
103,0,0,1,1,cropped-images-dev/UHERJGW96KU_1.jpg,1,1,12708,62,NULL,NULL
104,0,0,1,1,cropped-images-dev/KN02SYUKG8W_1.jpg,1,1,12710,63,NULL,NULL
105,0.015,0.107,0.5817,0.9027,cropped-images-dev/QJVZTP0OOVX_1.jpg,1,1,12712,64,NULL,NULL
107,0,0,1,1,cropped-images-dev/AMFYEAQBR6M_1.jpg,1,1,12715,65,NULL,NULL
108,0,0.4814,0.5949,0.9903,cropped-images-dev/QEP3JWGNIDX_1.jpg,1,1,12717,66,NULL,NULL
109,0.093,0.3531,0.6786,0.9954,cropped-images-dev/CHXM747DW1W_1.jpg,1,1,12718,67,NULL,NULL
110,0,0,1,1,cropped-images-dev/O0TYQCP1QYD_1.jpg,1,1,12719,68,NULL,NULL
111,0,0,1,1,cropped-images-dev/G1HGEFMST1U_1.jpg,1,1,12720,69,NULL,NULL
112,0,0,1,1,cropped-images-dev/P7BU4UK4FEM_1.jpg,1,1,12721,70,NULL,NULL
113,0,0,1,1,cropped-images-dev/ZG3ONCAPI7T_1.jpg,1,1,12723,71,NULL,NULL
114,0,0,1,1,cropped-images-dev/NHAP1H2ORPT_1.jpg,1,1,12724,72,NULL,NULL
115,0,0,1,1,cropped-images-dev/AFQTDCJ9DHM_1.jpg,1,1,12725,73,NULL,NULL
116,0,0,1,1,cropped-images-dev/VV7T80JIQMQ_1.jpg,1,1,12726,74,NULL,NULL
117,0,0,1,1,cropped-images-dev/7OGMRJFLVWR_1.jpg,1,1,12727,75,NULL,NULL
118,0,0,1,1,cropped-images-dev/ZMND8G7NHSL_1.jpg,1,1,12728,76,NULL,NULL
119,0,0,1,1,cropped-images-dev/4E8NIQ8EM8P_1.jpg,1,1,12729,77,NULL,NULL
120,0,0,1,1,cropped-images-dev/OI34CA30JRA_1.jpg,1,1,12730,78,NULL,NULL
121,0,0,1,1,cropped-images-dev/23XZNXH23HG_1.jpg,1,1,12732,79,NULL,NULL
122,0.117,0.4927,0.8553,0.9757,cropped-images-dev/Z06ZG7AJLXG_1.jpg,1,1,12733,80,NULL,NULL
123,0,0,1,1,cropped-images-dev/YIJZN86QSOA_1.jpg,1,1,12735,81,NULL,NULL
124,0,0,1,1,cropped-images-dev/73C3ZDLHC9X_1.jpg,1,1,12736,82,NULL,NULL
125,0,0,1,1,cropped-images-dev/M3QVSZC2JAA_1.jpg,1,1,12737,83,NULL,NULL
126,0.0611,0.1067,0.9266,0.9845,cropped-images-dev/NRQULB6WV3R_1.jpg,1,1,12738,84,NULL,NULL
